Label,modularity_class
latin,0
reggaeton,0
pop rap,1
rap,1
trap,1
hip hop,1
tropical,0
trap latino,0
pop,2
dance pop,2
reggaeton flow,0
post-teen pop,2
latin hip hop,0
tropical house,2
southern hip hop,1
underground hip hop,1
melodic rap,1
edm,2
electropop,2
atl hip hop,1
trap argentino,0
panamanian pop,0
latin pop,0
colombian pop,0
german hip hop,3
r&b en espanol,0
vapor trap,1
nc hip hop,1
atl trap,1
puerto rican pop,0
uk pop,2
miami hip hop,1
conscious hip hop,1
electro house,2
uk dance,2
deep german hip hop,3
gangster rap,1
r&b,1
canadian pop,1
cali rap,1
rap latina,0
pop reggaeton,0
house,2
canadian hip hop,1
trap soul,1
baile pop,0
funk carioca,0
dirty south rap,1
toronto rap,1
dfw rap,1
moombahton,2
queens hip hop,1
big room,2
argentine hip hop,0
alternative r&b,2
bmore,2
ninja,2
urban contemporary,1
sudanese pop,1
contemporary country,2
italian hip hop,4
perreo,0
emo rap,1
chicago rap,1
hamburg hip hop,3
australian pop,2
trap italiana,4
modern rock,2
italian underground hip hop,4
electronic trap,1
indie poptimism,2
progressive electro house,2
detroit hip hop,1
australian dance,2
swedish pop,2
philly rap,1
brostep,2
rock,1
progressive house,2
funk das antigas,0
pagode baiano,0
pop nacional,0
pop edm,2
disco house,2
filter house,2
vocal house,2
bachata,0
country road,2
latin viral pop,0
rap napoletano,4
boy band,2
melodic dubstep,2
dmv rap,1
country,2
viral pop,2
canadian contemporary r&b,2
afro dancehall,2
dancehall,2
nigerian hip hop,2
nigerian pop,2
k-pop,2
emo,2
neo soul,2
uk contemporary r&b,2
german pop,3
indietronica,2
french hip hop,3
pop urbaine,3
meme rap,1
hip pop,2
pop rock,2
belgian edm,2
g funk,1
europop,2
uk hip hop,2
pop house,2
latin arena pop,0
mexican pop,0
rap sardegna,4
k-pop boy group,2
modern alternative rock,2
complextro,2
colombian hip hop,0
grime,2
country rap,2
lgbtq+ hip hop,2
kosovan pop,3
outlaw country,2
soundtrack,2
album rock,1
birmingham metal,1
hard rock,1
metal,1
baroque pop,2
etherpop,2
art pop,2
german cloud rap,3
indie pop rap,1
new orleans rap,1
german techno,2
funk ostentacao,0
social media pop,1
german underground rap,3
modern country rock,2
british indie rock,2
rap rock,2
swedish electropop,2
uk funky,2
reggae fusion,2
neo mellow,1
metropopolis,2
east coast hip hop,1
instrumental grime,1
albanian hip hop,3
deep big room,2
houston rap,1
rap dominicano,2
trap queen,2
video game music,2
afropop,1
basshall,2
dutch hip hop,2
dutch house,2
dutch urban,2
florida rap,1
country pop,2
cumbia,0
latin alternative,0
latin rock,0
salsa choke,0
dark trap,1
pop punk,2
liquid funk,2
nyc rap,1
indie r&b,1
uk alternative pop,1
eurodance,2
indie pop,2
deep pop r&b,2
modern reggae,2
reggae,2
uk dancehall,2
roots reggae,2
rap conscient,3
italian alternative,4
italian pop,4
afrofuturismo brasileiro,0
bass trap,0
future house,2
nyc pop,2
dembow,2
glam rock,1
afrobeat,1
malian blues,1
mande pop,1
wassoulou,1
world,1
venezuelan hip hop,0
adult standards,2
dutch edm,2
trance,2
hollywood,2
belgian dance,2
brega funk,0
german dance,2
rock en espanol,0
boston hip hop,1
ghanaian hip hop,0
swedish dancehall,0
electro latino,0
azonto,1
talent show,2
smooth jazz,1
smooth saxophone,1
trap brasileiro,0
blues rock,1
classic rock,1
mexican classic rock,1
canadian electronic,2
dominican pop,0
deep talent show,2
finnish pop,2
deep euro house,2
deep house,2
celtic,5
new wave pop,5
celtic punk,5
celtic rock,5
folk punk,5
irish folk,5
punk,5
bubblegum dance,2
neo-synthpop,2
shimmer pop,2
gospel,1
trap espanol,7
west coast rap,1
belgian hip hop,3
k-hop,0
destroy techno,2
birmingham grime,1
italo dance,2
permanent wave,2
k-pop girl group,2
country dawn,2
texas country,2
la indie,1
indie electropop,2
vapor soul,2
brazilian edm,0
piano rock,2
escape room,1
minnesota hip hop,2
pop argentino,2
alternative hip hop,1
hardcore hip hop,1
regional mexican pop,0
art rock,1
dance rock,1
protopunk,1
candy pop,2
show tunes,2
norwegian pop,2
easy listening,2
swing,2
lounge,2
schweizer rap,0
turkish hip hop,3
turkish trap,3
forro,0
sertanejo pop,0
scandipop,2
classic arab pop,1
rai,1
memphis hip hop,1
baton rouge rap,1
experimental rock,1
folk rock,1
mellow gold,1
psychedelic rock,1
experimental,1
experimental pop,1
german trap,3
girl group,2
singer-songwriter,2
post-romantic era,2
ukrainian classical,2
pagode,0
sertanejo universitario,0
funk bh,0
francoton,3
rap francais,3
oklahoma country,2
deep adult standards,2
vocal harmony group,2
brill building pop,2
musica canaria,0
chicago house,6
deep tropical house,6
vapor twitch,7
reggaeton chileno,7
trap chileno,7
canadian country,2
indie rock,1
washington indie,1
zimdancehall,2
r&b argentino,0
electro,2
la pop,2
teen pop,2
